day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,expanding
17,expanding
18,expanding
19,expanding
20,expanding
21,expanding
22,expanding
23,expanding
24,expanding
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,expanding
31,expanding
32,expanding
33,expanding
34,expanding
35,expanding
36,expanding
37,expanding
38,expanding
39,expanding
40,expanding
41,expanding
42,expanding
43,expanding
44,expanding
45,expanding
46,expanding
47,expanding
48,expanding
49,expanding
50,expanding
51,expanding
52,expanding
53,expanding
54,expanding
55,expanding
56,expanding
57,expanding
58,expanding
59,expanding
60,expanding
61,expanding
62,rolling_14
63,rolling_3
64,rolling_3
65,rolling_3
66,rolling_3
67,rolling_3
68,rolling_3
69,rolling_3
70,rolling_3
71,rolling_7
72,rolling_7
73,rolling_7
74,rolling_7
75,rolling_7
76,rolling_7
77,rolling_7
78,rolling_7
79,rolling_7
80,rolling_7
81,rolling_7
82,rolling_7
83,rolling_7
84,rolling_7
85,rolling_7
86,rolling_7
87,rolling_7
88,rolling_14
89,rolling_14
90,rolling_14
91,rolling_14
92,rolling_14
93,rolling_14
94,rolling_14
95,rolling_7
96,rolling_14
97,rolling_14
98,rolling_14
99,rolling_14
100,rolling_14
101,rolling_14
102,rolling_14
103,rolling_14
104,rolling_14
105,rolling_14
106,rolling_14
107,rolling_14
108,rolling_14
109,rolling_14
110,rolling_14
111,rolling_14
112,rolling_14
113,rolling_14
114,rolling_14
115,rolling_14
116,rolling_14
117,rolling_14
118,rolling_14
119,rolling_14
